FrontUpper1, FrontUpper2, FrontUpper3
SingleWord,Text,Image
Nyrer, "Organ der renser blodet og danner urin", Billeder/nyrer.png
Mavesæk, "Organ der indeholder saltsyre", Billeder/mavesaek.png
Tarme, "Organ der optager næringsstoffer fra maden", Billeder/tarme.png
Hjerte, "Organ der pumper blodet rundt i kroppen", Billeder/hjerte.png
Lever, "Organ der omdanner stoffer f.eks. alkohol", Billeder/lever.png
Lunger, "Organ der ilter blodet", Billeder/lunger.png
Hjerne, "Organ der styrer vores følelser og tanker", Billeder/hjerne.png
